group,label
Cl_1,chase
Cl_1,elwood
Cl_1,iris
Cl_1,ivy
Cl_1,joanne
Cl_1,max
Cl_10,clair
Cl_10,edgar
Cl_10,noe
Cl_10,prince
Cl_10,ulysses
Cl_11,edgar
Cl_11,elba
Cl_11,tod
Cl_12,archie
Cl_12,joesph
Cl_12,noe
Cl_13,althea
Cl_13,archie
Cl_13,george
Cl_13,joesph
Cl_13,noe
Cl_13,otha
Cl_13,ulysses
Cl_2,donte
Cl_2,dwight
Cl_2,fran
Cl_2,jose
Cl_2,shaun
Cl_3,gwen
Cl_3,wm
Cl_4,ivy
Cl_4,joanne
Cl_4,mae
Cl_4,max
Cl_5,althea
Cl_5,glenn
Cl_6,althea
Cl_6,elbert
Cl_6,elden
Cl_6,glenn
Cl_6,mae
Cl_6,noe
Cl_7,elwood
Cl_7,errol
Cl_7,gwen
Cl_7,joanne
Cl_7,mai
Cl_8,aldo
Cl_8,althea
Cl_8,ambrose
Cl_8,andrea
Cl_8,jake
Cl_8,mae
Cl_8,mai
Cl_8,noe
Cl_9,ambrose
Cl_9,mai
Ec_1,aldo
Ec_1,ambrose
Ec_1,chase
Ec_1,clair
Ec_1,jake
Ec_1,jorge
Ec_1,mai
Ec_1,vince
Ec_2,althea
Ec_2,ambrose
Ec_2,clair
Ec_2,fran
Ec_2,gwen
Ec_2,iris
Ec_2,jorge
Ec_2,mae
Ec_2,prince
Ec_2,tod
Ec_2,vance
Ec_3,elaine
Ec_3,george
Ec_3,joy
Ec_3,max
Ec_3,otha
Ec_3,ulysses
Ec_4,archie
Ec_4,george
Ec_4,joesph
Ec_4,joy
Ec_4,max
Ec_4,otha
Ec_4,ulysses
Ec_5,elbert
Ec_5,elden
Ec_5,glenn
Ec_5,mae
Ec_6,aldo
Ec_6,chase
Ec_6,edgar
Ec_6,mai
Ec_6,tod
Ec_7,aldo
Ec_7,andrea
Ec_7,elaine
Ec_7,jake
Ec_7,joesph
Ec_7,jorge
Ec_7,mai
Ec_7,noe
Ec_7,otha
Ec_7,prince
Ec_7,ulysses
Ec_8,ambrose
Ec_8,archie
Ec_8,mai
Ec_8,noe
Hum_1,archie
Hum_1,jorge
Hum_1,noe
Hum_1,prince
Hum_1,ulysses
Hum_2,aldo
Hum_2,althea
Hum_2,ambrose
Hum_2,bryant
Hum_2,joesph
Hum_2,mae
Hum_3,elaine
Hum_3,jake
Hum_4,clair
Hum_4,elwood
Hum_4,errol
Hum_4,george
Hum_4,glenn
Hum_4,gwen
Hum_4,joy
Hum_4,otha
Hum_4,tod
Hum_4,wm
Hum_5,edgar
Hum_5,elbert
Hum_5,elden
Loc_1,elaine
Loc_1,joy
Loc_1,ulysses
Loc_2,andrea
Loc_2,elbert
Loc_2,mae
Loc_2,noe
Loc_3,althea
Loc_3,archie
Loc_3,elba
Loc_3,frank
Loc_3,joesph
Loc_3,max
Loc_3,prince
Loc_4,aldo
Loc_4,jake
Loc_5,chase
Loc_5,mai
Loc_5,otha
Loc_6,edgar
Loc_6,george
Loc_7,clair
Loc_7,elden
Sg_1_1,clair
Sg_1_1,noe
Sg_1_10,althea
Sg_1_10,dwight
Sg_1_10,elaine
Sg_1_10,elden
Sg_1_11,fran
Sg_1_11,jed
Sg_1_11,jose
Sg_1_12,ambrose
Sg_1_12,archie
Sg_1_12,iris
Sg_1_2,andrea
Sg_1_2,jake
Sg_1_3,bryant
Sg_1_3,elba
Sg_1_3,elwood
Sg_1_3,otha
Sg_1_3,vince
Sg_1_4,errol
Sg_1_4,joanne
Sg_1_4,prince
Sg_1_4,tod
Sg_1_5,george
Sg_1_5,gwen
Sg_1_5,hugh
Sg_1_5,shaun
Sg_1_6,aldo
Sg_1_6,frank
Sg_1_6,joy
Sg_1_6,mark
Sg_1_6,max
Sg_1_7,elbert
Sg_1_7,glenn
Sg_1_7,mae
Sg_1_7,mai
Sg_1_8,donte
Sg_1_8,joesph
Sg_1_8,ove
Sg_1_8,ulysses
Sg_1_9,chase
Sg_1_9,edgar
Sg_1_9,ivy
Sg_1_9,jorge
Sg_1_9,olin
Sg_1_9,wm
Sg_2_1,ambrose
Sg_2_1,archie
Sg_2_1,noe
Sg_2_10,joy
Sg_2_10,otha
Sg_2_10,ove
Sg_2_11,gwen
Sg_2_11,iris
Sg_2_11,joanne
Sg_2_11,wm
Sg_2_12,joyce
Sg_2_12,vance
Sg_2_2,aldo
Sg_2_2,bryant
Sg_2_2,chase
Sg_2_2,mai
Sg_2_2,mark
Sg_2_3,althea
Sg_2_3,edgar
Sg_2_3,elden
Sg_2_3,hugh
Sg_2_3,mae
Sg_2_4,elbert
Sg_2_4,glenn
Sg_2_4,jake
Sg_2_4,vance
Sg_2_5,clair
Sg_2_5,elba
Sg_2_5,prince
Sg_2_6,joesph
Sg_2_6,joyce
Sg_2_6,max
Sg_2_6,ulysses
Sg_2_7,elaine
Sg_2_7,jed
Sg_2_7,olin
Sg_2_7,tod
Sg_2_8,andrea
Sg_2_8,frank
Sg_2_8,george
Sg_2_8,ivy
Sg_2_8,jorge
Sg_2_9,aldo
Sg_2_9,bryant
Sg_2_9,chase
Sg_2_9,mai
Sg_2_9,mark
Sg_3_1,althea
Sg_3_1,ambrose
Sg_3_1,archie
Sg_3_1,mae
Sg_3_1,noe
Sg_3_10,errol
Sg_3_10,gwen
Sg_3_10,mai
Sg_3_10,vance
Sg_3_11,jed
Sg_3_11,joyce
Sg_3_11,olin
Sg_3_11,ove
Sg_3_12,donte
Sg_3_12,dwight
Sg_3_12,shaun
Sg_3_12,vince
Sg_3_2,clair
Sg_3_2,elba
Sg_3_2,prince
Sg_3_3,edgar
Sg_3_3,elbert
Sg_3_3,glenn
Sg_3_3,tod
Sg_3_4,chase
Sg_3_4,iris
Sg_3_4,ivy
Sg_3_4,joanne
Sg_3_5,mark
Sg_3_5,wm
Sg_3_6,george
Sg_3_6,joy
Sg_3_6,otha
Sg_3_7,fran
Sg_3_7,jose
Sg_3_8,elaine
Sg_3_8,joesph
Sg_3_8,max
Sg_3_8,ulysses
Sg_3_9,aldo
Sg_3_9,frank
Sg_3_9,jake
Sg_3_9,jorge
Sg_4_1,chase
Sg_4_1,iris
Sg_4_1,ivy
Sg_4_1,joanne
Sg_4_10,errol
Sg_4_10,gwen
Sg_4_10,mai
Sg_4_10,vance
Sg_4_11,george
Sg_4_11,joy
Sg_4_11,otha
Sg_4_11,wm
Sg_4_12,andrea
Sg_4_12,bryant
Sg_4_12,elden
Sg_4_12,mark
Sg_4_2,elaine
Sg_4_2,joesph
Sg_4_2,max
Sg_4_2,ulysses
Sg_4_3,aldo
Sg_4_3,elwood
Sg_4_3,frank
Sg_4_3,jake
Sg_4_3,jorge
Sg_4_4,anton
Sg_4_4,edgar
Sg_4_4,elbert
Sg_4_4,glenn
Sg_4_4,tod
Sg_4_5,hugh
Sg_4_6,althea
Sg_4_6,ambrose
Sg_4_6,archie
Sg_4_6,mae
Sg_4_6,noe
Sg_4_7,jed
Sg_4_7,joyce
Sg_4_7,olin
Sg_4_7,ove
Sg_4_8,donte
Sg_4_8,dwight
Sg_4_8,fran
Sg_4_8,jose
Sg_4_8,shaun
Sg_4_8,vince
Sg_4_9,clair
Sg_4_9,elba
Sg_4_9,prince
